Field name		Data type		Required
project_id		String			Yes
project_title		String			Yes
project_description	String 			Yes
notification_type	String			Yes
property_type		String			No
project_ref		String			Yes
project_street		String			Yes
project_zip		String			Yes
project_city		String			Yes
project_state		String			Yes
project_latitude	Float			Yes
project_longitude	Float			Yes
project_geometry	KML			No
project_received	Date			No
project_planned		Date 			No
project_started		Date			No
project_ending		Date			Yes
project_value		Float			Yes
project_departments	String			Yes
project_manager		String			No
project_funder		String			Yes
project_status		String			No
project_contact		String			Yes
project_phone		Integer			Yes
project_email		String			No
project_web		String			No
project_siblings	String			No
